tap,coeff_real_float,coeff_imag_float,coeff_real_int,coeff_imag_int,coeff_real_fixed,coeff_imag_fixed,coeff_abs_fixed,coeff_real_error,coeff_imag_error
124,3.783334221252001e-03,9.158863706410200e-02,124,3001,3.784179687500000e-03,9.158325195312500e-02,9.166139893224880e-02,8.454662479987288e-07,-5.385110977002006e-06
125,-7.159409614995027e-02,-2.927998607856519e-02,-2346,-959,-7.159423828125000e-02,-2.926635742187500e-02,7.734503624549763e-02,-1.421312997296198e-07,1.362865669018998e-05
126,3.897226532743298e-02,-4.137007965428937e-02,1277,-1356,3.897094726562500e-02,-4.138183593750000e-02,5.684356671021173e-02,-1.318061807982496e-06,-1.175628321063021e-05
127,2.087249296077852e-02,2.727067659005834e-02,684,894,2.087402343750000e-02,2.728271484375000e-02,3.435216708905969e-02,1.530476721484791e-06,1.203825369166384e-05
128,-9.930374847391831e-03,2.148033600534364e-02,-325,704,-9.918212890625000e-03,2.148437500000000e-02,2.366324821499333e-02,1.216195676683081e-05,4.038994656355155e-06
129,-3.886007835464889e-02,-5.442481019180477e-03,-1273,-178,-3.884887695312500e-02,-5.432128906250000e-03,3.922681818568979e-02,1.120140152389287e-05,1.035211293047740e-05
130,2.251489762443262e-02,-5.636417901139698e-02,738,-1847,2.252197265625000e-02,-5.636596679687500e-02,6.069894122038116e-02,7.075031817384281e-06,-1.787785478019055e-06
131,5.647999648397854e-02,5.431533396552453e-02,1851,1780,5.648803710937500e-02,5.432128906250000e-02,7.836900396127164e-02,8.040625396464607e-06,5.955096975471252e-06
132,-8.310351486312083e-02,3.262531118468494e-02,-2723,1069,-8.309936523437500e-02,3.262329101562500e-02,8.927364459372213e-02,4.149628745828138e-06,-2.020169059938071e-06
133,6.474609627918793e-03,-9.198086351765837e-02,212,-3014,6.469726562500000e-03,-9.197998046875000e-02,9.220723490499620e-02,-4.883065418792576e-06,8.830489083705428e-07
134,7.587266929530975e-02,4.254937365202843e-02,2486,1394,7.586669921875000e-02,4.254150390625000e-02,8.698008740484092e-02,-5.970076559752568e-06,-7.869745778432691e-06
135,-5.966695954146381e-02,4.453542228438161e-02,-1955,1459,-5.966186523437500e-02,4.452514648437500e-02,7.444479050074475e-02,5.094307088809868e-06,-1.027580000660666e-05
136,-1.579940559277791e-02,-5.427106626621898e-02,-518,-1778,-1.580810546875000e-02,-5.426025390625000e-02,5.651611586513923e-02,-8.699875972087434e-06,1.081235996898411e-05
137,3.680642584767875e-02,-3.748605647478457e-03,1206,-123,3.680419921875000e-02,-3.753662109375000e-03,3.699512210230959e-02,-2.226628928750363e-06,-5.056461896543393e-06
138,9.784979772838971e-03,2.408319680354153e-02,321,789,9.796142578125000e-03,2.407836914062500e-02,2.599485083402395e-02,1.116280528602916e-05,-4.827662916529613e-06
139,-2.770097161838586e-02,2.242358948289384e-02,-908,735,-2.770996093750000e-02,2.243041992187500e-02,3.565060550719192e-02,-8.989319114135336e-06,6.830438981156317e-06
140,-2.571945385206041e-02,-4.635431346328916e-02,-843,-1519,-2.572631835937500e-02,-4.635620117187500e-02,5.301642050737922e-02,-6.864507314591900e-06,-1.887708585841807e-06
