freq_hz,h1_effective_abs_db,h1_effective_phase_rad,h1_effective_group_delay_ns,plan_c_effective_abs_db,plan_c_effective_phase_rad,plan_c_effective_group_delay_ns
3579345703.125000,1.070062266903e-01,-2.874373852383e+00,2.509103601796e+00,1.193178550058e-01,-1.551796116936e+00,3.417000912707e+00
3579528808.593750,1.030008383779e-01,-2.877260539923e+00,2.509103601796e+00,1.163272879231e-01,-1.555928760533e+00,3.690180317564e+00
3579711914.062500,9.899360217913e-02,-2.880147227463e+00,2.509103601796e+00,1.123781098947e-01,-1.560287115503e+00,3.430617587869e+00
3579895019.531250,9.498451638813e-02,-2.883033915002e+00,2.142082081189e+00,1.047926919132e-01,-1.563822512738e+00,3.149839784278e+00
3580078125.000000,9.417740652798e-02,-2.885076096600e+00,1.281875392262e+00,1.037271594470e-01,-1.567534806074e+00,2.388269406369e+00
3580261230.468750,9.767390427150e-02,-2.885983473339e+00,7.886902239446e-01,1.077276284154e-01,-1.569317851817e+00,1.786799716269e+00
3580444335.937500,1.011689950691e-01,-2.886890850077e+00,7.886902239448e-01,1.074128543822e-01,-1.571646180729e+00,1.984640713633e+00
3580627441.406250,1.046626800525e-01,-2.887798226815e+00,7.886902239419e-01,1.107335743842e-01,-1.573884452905e+00,1.956094735385e+00
3580810546.875000,1.081549603523e-01,-2.888705603554e+00,7.886902239446e-01,1.152914240806e-01,-1.576147098344e+00,1.902266929633e+00
3580993652.343750,1.116458370974e-01,-2.889612980292e+00,1.141247976787e+00,1.205734026240e-01,-1.578261514290e+00,2.102569414926e+00
3581176757.812500,1.095680569912e-01,-2.891331582260e+00,1.506466643403e+00,1.168554957758e-01,-1.580985049975e+00,2.467317336352e+00
3581359863.281250,1.072897364592e-01,-2.893079316625e+00,1.519127557179e+00,1.145064468495e-01,-1.583938740378e+00,2.606569585094e+00
3581542968.750000,1.050108181637e-01,-2.894827050990e+00,1.519127557179e+00,1.091642506542e-01,-1.586982691474e+00,2.626784252017e+00
3581726074.218750,1.027313017912e-01,-2.896574785356e+00,1.519127557179e+00,1.039929248617e-01,-1.589982895242e+00,2.753159310874e+00
3581909179.687500,1.004511870276e-01,-2.898322519721e+00,1.656599208096e+00,1.037911316037e-01,-1.593317631707e+00,2.644564003391e+00
3582092285.156250,9.919843941930e-02,-2.900386572393e+00,1.929360420240e+00,1.012784631362e-01,-1.596067960803e+00,2.679496478773e+00
3582275390.625000,9.895718719645e-02,-2.902761922447e+00,2.064649981465e+00,1.037405730579e-01,-1.599483075887e+00,3.106087546499e+00
3582458496.093750,9.871592827259e-02,-2.905137272501e+00,2.064649981462e+00,1.015739836895e-01,-1.603214978736e+00,3.255468410316e+00
3582641601.562500,9.847466264734e-02,-2.907512622555e+00,2.064649981464e+00,9.929860410449e-02,-1.606973814882e+00,3.208708029374e+00
3582824707.031250,9.823339032034e-02,-2.909887972609e+00,2.027958766922e+00,9.657958343914e-02,-1.610598123442e+00,3.025564272741e+00
3583007812.500000,9.809535026122e-02,-2.912178897236e+00,1.168008426073e+00,9.534657802523e-02,-1.613935551082e+00,2.265376843299e+00
