tap,coeff_real_float,coeff_imag_float,coeff_real_int,coeff_imag_int,coeff_real_fixed,coeff_imag_fixed,coeff_abs_fixed,coeff_real_error,coeff_imag_error
11,-2.099631731839491e+00,2.869857149424985e-01,-68801,9404,-2.099639892578125e+00,2.869873046875000e-01,2.119162426893530e+00,-8.160738633744558e-06,1.589745001528975e-06
12,6.903036717943616e-01,-1.660629908641814e+00,22620,-54416,6.903076171875000e-01,-1.660644531250000e+00,1.798406201478858e+00,3.945393138415909e-06,-1.462260818585470e-05
13,6.584752328502069e-01,8.823683694454505e-01,21577,28913,6.584777832031250e-01,8.823547363281250e-01,1.100973601723845e+00,2.550352918073706e-06,-1.363311732549555e-05
14,-2.317863394789527e-01,5.793353591971335e-03,-7595,190,-2.317810058593750e-01,5.798339843750000e-03,2.318535214788148e-01,5.333619577663207e-06,4.986251778664984e-06
15,-2.059960649779443e-01,5.749681231378384e-01,-6750,18841,-2.059936523437500e-01,5.749816894531250e-01,6.107678184157116e-01,2.412634194315366e-06,1.356631528659502e-05
16,-7.890457947329395e-01,-9.799715848154616e-01,-25855,-32112,-7.890319824218750e-01,-9.799804687500000e-01,1.258146727697554e+00,1.381231106445391e-05,-8.883934538350680e-06
17,1.594470517255760e+00,-2.338632072321967e-01,52248,-7663,1.594482421875000e+00,-2.338562011718750e-01,1.611540541374900e+00,1.190461923972208e-05,7.006060321668173e-06
18,-6.140592603420151e-01,1.518295582858250e+00,-20121,49752,-6.140441894531250e-01,1.518310546875000e+00,1.637778123969485e+00,1.507088889007857e-05,1.496401675038506e-05
19,-8.326464569521329e-01,-1.083355687534239e+00,-27284,-35499,-8.326416015625000e-01,-1.083343505859375e+00,1.366354708097515e+00,4.855389632907325e-06,1.218167486416455e-05
20,8.683201544853345e-01,-1.022086145583563e-01,28453,-3349,8.683166503906250e-01,-1.022033691406250e-01,8.743107765601942e-01,-3.504094709505523e-06,5.245417731281066e-06
21,-1.233150458193546e-01,2.366585926450747e-01,-4041,7755,-1.233215332031250e-01,2.366638183593750e-01,2.668669396384811e-01,-6.487383770362176e-06,5.225714300255424e-06
22,2.362074550291959e-01,2.566586193445531e-01,7740,8410,2.362060546875000e-01,2.566528320312500e-01,3.488036359625502e-01,-1.400341695878549e-06,-5.787313303085018e-06
23,-8.538102364777964e-01,1.468227792013607e-01,-27978,4811,-8.538208007812500e-01,1.468200683593750e-01,8.663521756882628e-01,-1.056430345358628e-05,-2.710841985664736e-06
24,4.353888915138079e-01,-1.134234258780163e+00,14267,-37167,4.353942871093750e-01,-1.134246826171875e+00,1.214941993647620e+00,5.395595567114775e-06,-1.256739171151544e-05
25,8.431616427174142e-01,1.058524899462544e+00,27629,34686,8.431701660156250e-01,1.058532714843750e+00,1.353302418993366e+00,8.523298210771912e-06,7.815381206199845e-06
26,-1.263504876082289e+00,1.798630110960862e-01,-41403,5894,-1.263519287109375e+00,1.798706054687500e-01,1.276257976903211e+00,-1.441102708565900e-05,7.594372663788374e-06
27,3.868678306400988e-01,-9.341210739888364e-01,12677,-30609,3.868713378906250e-01,-9.341125488281250e-01,1.011056717479024e+00,3.507250526224581e-06,8.525160711370106e-06
28,3.606266313617078e-01,4.922591679051699e-01,11817,16130,3.606262207031250e-01,4.922485351562500e-01,6.102129885720993e-01,-4.106585827501341e-07,-1.063274891988097e-05
29,-1.427030654723362e-01,-6.904262700455112e-03,-4676,-226,-1.427001953125000e-01,-6.896972656250000e-03,1.428667700133474e-01,2.870159836243502e-06,7.290044205111867e-06
30,-9.332352041387046e-02,3.140233538085204e-01,-3058,10290,-9.332275390625000e-02,3.140258789062500e-01,3.275994337899400e-01,7.665076204588228e-07,2.525097729633163e-06
31,-4.705167228881422e-01,-5.511048122683516e-01,-15418,-18059,-4.705200195312500e-01,-5.511169433593750e-01,7.246509325443999e-01,-3.296643107775221e-06,-1.213109102338183e-05
